iter	Passed	Remaining
0	25	7520
1	45	6780
2	65	6508
3	86	6402
4	107	6353
5	128	6283
6	149	6242
7	169	6194
8	190	6152
9	211	6147
10	232	6110
11	253	6078
12	273	6040
13	294	6022
14	314	5984
15	335	5948
16	355	5916
17	375	5886
18	397	5872
19	417	5843
20	437	5815
21	457	5786
22	479	5768
23	498	5738
24	519	5709
25	537	5669
26	557	5637
27	577	5606
28	600	5615
29	625	5625
30	646	5609
31	666	5584
32	691	5592
33	724	5668
34	747	5660
35	788	5778
36	813	5784
37	836	5766
38	861	5762
39	886	5765
40	912	5761
41	932	5726
42	952	5693
43	972	5659
44	993	5628
45	1013	5596
46	1033	5564
47	1054	5533
48	1074	5502
49	1094	5471
50	1113	5435
51	1132	5402
52	1152	5369
53	1171	5337
54	1190	5305
55	1211	5276
56	1231	5248
57	1251	5220
58	1270	5190
59	1290	5160
60	1310	5135
61	1341	5148
62	1391	5235
63	1430	5274
64	1462	5288
65	1498	5312
66	1528	5314
67	1556	5311
68	1580	5290
69	1604	5273
70	1629	5255
71	1652	5233
72	1676	5214
73	1699	5189
74	1721	5164
75	1746	5147
76	1767	5119
77	1792	5101
78	1818	5087
79	1840	5062
80	1863	5038
81	1883	5008
82	1903	4977
83	1923	4946
84	1942	4914
85	1962	4883
86	1982	4853
87	2001	4822
88	2021	4793
89	2041	4764
90	2061	4734
91	2081	4705
92	2100	4675
93	2120	4646
94	2139	4617
95	2159	4588
96	2178	4559
97	2198	4532
98	2218	4505
99	2239	4478
100	2259	4451
101	2279	4424
102	2298	4397
103	2318	4368
104	2337	4340
105	2356	4313
106	2376	4285
107	2396	4260
108	2416	4234
109	2436	4209
110	2457	4183
111	2476	4156
112	2495	4130
113	2515	4104
114	2535	4078
115	2556	4054
116	2576	4029
117	2595	4003
118	2616	3980
119	2638	3957
120	2659	3933
121	2681	3912
122	2701	3887
123	2721	3863
124	2741	3837
125	2761	3813
126	2780	3787
127	2799	3762
128	2819	3737
129	2841	3715
130	2867	3699
131	2901	3692
132	2929	3678
133	2961	3668
134	2991	3656
135	3017	3639
136	3042	3619
137	3064	3597
138	3086	3574
139	3107	3551
140	3128	3528
141	3149	3504
142	3170	3480
143	3190	3456
144	3211	3432
145	3231	3408
146	3251	3384
147	3271	3360
148	3292	3336
149	3312	3312
150	3332	3288
151	3353	3265
152	3374	3242
153	3395	3218
154	3414	3194
155	3434	3170
156	3454	3146
157	3476	3124
158	3501	3105
159	3531	3089
160	3558	3072
161	3585	3054
162	3608	3032
163	3630	3010
164	3653	2988
165	3677	2968
166	3700	2946
167	3721	2924
168	3743	2901
169	3765	2879
170	3786	2856
171	3807	2833
172	3832	2813
173	3861	2796
174	3888	2777
175	3912	2756
176	3935	2735
177	3957	2712
178	3979	2689
179	4001	2667
180	4023	2645
181	4043	2621
182	4065	2599
183	4089	2578
184	4114	2557
185	4144	2540
186	4168	2518
187	4189	2496
188	4211	2473
189	4234	2451
190	4256	2429
191	4277	2406
192	4300	2384
193	4321	2361
194	4345	2339
195	4374	2321
196	4407	2304
197	4431	2282
198	4453	2260
199	4474	2237
200	4496	2214
201	4518	2192
202	4541	2170
203	4563	2147
204	4583	2123
205	4605	2101
206	4631	2080
207	4661	2062
208	4688	2041
209	4708	2018
210	4729	1994
211	4749	1971
212	4769	1948
213	4789	1924
214	4810	1901
215	4831	1878
216	4852	1855
217	4872	1832
218	4893	1809
219	4913	1786
220	4934	1763
221	4957	1741
222	4978	1719
223	4998	1696
224	5018	1672
225	5039	1649
226	5059	1627
227	5080	1604
228	5099	1581
229	5119	1558
230	5138	1534
231	5158	1511
232	5178	1488
233	5197	1465
234	5217	1443
235	5242	1421
236	5266	1399
237	5286	1377
238	5308	1354
239	5329	1332
240	5350	1309
241	5369	1286
242	5389	1264
243	5409	1241
244	5429	1218
245	5448	1195
246	5468	1173
247	5487	1150
248	5507	1127
249	5526	1105
250	5546	1082
251	5566	1060
252	5585	1037
253	5606	1015
254	5625	992
255	5645	970
256	5666	948
257	5686	925
258	5708	903
259	5731	881
260	5754	859
261	5774	837
262	5796	815
263	5817	793
264	5837	770
265	5857	748
266	5876	726
267	5896	704
268	5916	681
269	5935	659
270	5955	637
271	5974	615
272	5994	592
273	6014	570
274	6034	548
275	6054	526
276	6075	504
277	6096	482
278	6116	460
279	6136	438
280	6156	416
281	6176	394
282	6196	372
283	6217	350
284	6238	328
285	6258	306
286	6278	284
287	6298	262
288	6319	240
289	6339	218
290	6360	196
291	6383	174
292	6404	153
293	6425	131
294	6446	109
295	6466	87
296	6486	65
297	6507	43
298	6528	21
299	6549	0
