iter	Logloss
0	0.6217039512
1	0.5554949514
2	0.5002965789
3	0.4602123378
4	0.4152171271
5	0.3859128704
6	0.3597977113
7	0.3332483576
8	0.3100094685
9	0.2843313383
10	0.261992203
11	0.2441884417
12	0.2286529121
13	0.2175960437
14	0.2038689183
15	0.190014015
16	0.1821680152
17	0.1706628868
18	0.1559787913
19	0.1467501855
20	0.1381303368
21	0.13169595
22	0.1261294053
23	0.1207714508
24	0.1167577071
25	0.1123186109
26	0.107718199
27	0.101801168
28	0.09775309618
29	0.09323205562
30	0.08953422894
31	0.08636600985
32	0.08339802516
33	0.08074495972
34	0.07641392498
35	0.07356341864
36	0.07076204443
37	0.06772637505
38	0.06551564911
39	0.06300509321
40	0.06012292542
41	0.05834922901
42	0.05643482291
43	0.05428584738
44	0.05189121665
45	0.050707179
46	0.04904411569
47	0.0477447496
48	0.04637966128
49	0.04527663358
50	0.04409167946
51	0.04310173382
52	0.0417389663
53	0.04081118589
54	0.03936346969
55	0.03826201169
56	0.03694653924
57	0.03599922368
58	0.03502800837
59	0.03398547421
60	0.03292515099
61	0.03161295025
62	0.030813694
63	0.03009277686
64	0.02922146858
65	0.02818989065
66	0.02755726555
67	0.02677063308
68	0.0260530979
69	0.02549361907
70	0.02471651507
71	0.02410544136
72	0.02334795108
73	0.02272662124
74	0.02224616508
75	0.02179939072
76	0.02123125164
77	0.02060882756
78	0.02020088372
79	0.01978898186
80	0.01926159445
81	0.01858678443
82	0.0181395222
83	0.01778175238
84	0.01751803525
85	0.01717029142
86	0.01687052346
87	0.01624563526
88	0.01570724063
89	0.01539557518
90	0.01508689754
91	0.01478248938
92	0.01444447799
93	0.01408955679
94	0.01371544083
95	0.01352570374
96	0.01321855032
97	0.01304418917
98	0.01282416878
99	0.01257408561
100	0.01239643345
101	0.01219940737
102	0.01199844945
103	0.01173340241
104	0.01158794089
105	0.0114596462
106	0.01119068454
107	0.01102509319
108	0.01088516836
109	0.01071553699
110	0.0105992976
111	0.01040700405
112	0.01027269722
113	0.01014748198
114	0.01002625096
115	0.009899805047
116	0.00973105844
117	0.009620724386
118	0.009527761812
119	0.009431254657
120	0.009352288494
121	0.009252869325
122	0.009175248918
123	0.009056174686
124	0.008954148761
125	0.008816647392
126	0.008724302226
127	0.008585702477
128	0.008502847197
129	0.008394162779
130	0.008311282693
131	0.008182968018
132	0.008076149604
133	0.008011494758
134	0.007920261752
135	0.007840388083
136	0.00777635409
137	0.007710101977
138	0.007607105839
139	0.007502537931
140	0.007444437529
141	0.007386980718
142	0.007322921918
143	0.00723738753
144	0.007176130493
145	0.007095732441
146	0.007044358061
147	0.006950842163
148	0.006884447412
149	0.006815896558
150	0.006771541055
151	0.00673553985
152	0.00670107734
153	0.006653439103
154	0.00658210578
155	0.006525036917
156	0.006461024973
157	0.006417644506
158	0.006342245664
159	0.006278564475
160	0.006208101449
161	0.006171978967
162	0.006085550165
163	0.006042003632
164	0.005970384344
165	0.005928940856
166	0.005894465254
167	0.005856920529
168	0.005784822337
169	0.00575312059
170	0.005717436013
171	0.0056922484
172	0.00565178856
173	0.005619152433
174	0.005586692364
175	0.005555917417
176	0.005517996805
177	0.005486344326
178	0.005460826648
179	0.005430457909
180	0.005382747319
181	0.005352184952
182	0.005326375796
183	0.005285074945
184	0.005255173397
185	0.005223366566
186	0.005171683482
187	0.005153060648
188	0.005129439638
189	0.0050996225
190	0.005048627109
191	0.005016496071
192	0.004986540431
193	0.004964082916
194	0.004923079744
195	0.004897206505
196	0.004856069653
197	0.004818346804
198	0.004794446375
199	0.004770406064
200	0.004741709012
201	0.00471977657
202	0.004703124135
203	0.004686953704
204	0.004661435337
205	0.004640515829
206	0.004613286153
207	0.004593050204
208	0.004567008487
209	0.0045398615
210	0.004520567855
211	0.004485386644
212	0.004461050723
213	0.004438573914
214	0.004400477933
215	0.004375640712
216	0.004353012653
217	0.004328876562
218	0.004305381651
219	0.00428047759
220	0.004255956653
221	0.004237846143
222	0.004216454966
223	0.004200869213
224	0.004181126983
225	0.004154380346
226	0.004133573157
227	0.004115032323
228	0.00409223992
229	0.004057201347
230	0.004035427391
231	0.004018381152
232	0.003998438747
233	0.003980550463
234	0.003965170397
235	0.00395133454
236	0.003931109271
237	0.00391215465
238	0.003896357696
239	0.003876143797
240	0.003861184754
241	0.003842157091
242	0.003824539956
243	0.003800364244
244	0.00377003995
245	0.003748460657
246	0.003733422026
247	0.003721469055
248	0.003696959832
249	0.003678872406
250	0.003665429664
251	0.003650802064
252	0.003636296429
253	0.003619502735
254	0.003605612441
255	0.003594134929
256	0.003582507889
257	0.003570830202
258	0.00355521723
259	0.00354168422
260	0.003530189481
261	0.003519424124
262	0.003500428503
263	0.003487699983
264	0.00346921014
265	0.003457608251
266	0.003445318669
267	0.003434290087
268	0.003418400108
269	0.003400165911
270	0.003384610821
271	0.003369467107
272	0.003356070877
273	0.003344892422
274	0.003335084185
275	0.003312717283
276	0.003297943256
277	0.003284673815
278	0.003268651535
279	0.003258890155
280	0.003248773214
281	0.003234952171
282	0.003225129119
283	0.003210733047
284	0.003199548735
285	0.003187527546
286	0.003178790126
287	0.003161620198
288	0.00315298097
289	0.003143965509
290	0.003135693556
291	0.003124509933
292	0.003114976635
293	0.003106452826
294	0.003096368961
295	0.003087715606
296	0.003077528036
297	0.003066448462
298	0.00305859133
299	0.003047627176
