id,DBH,class,X,Y
VAW022,122,Sylvatica,379435.05,5389063.354
VAW024,107,Sylvatica,379422.195,5388983.466
VAW025,71,Sylvatica,379406.945,5389018.596
VAW026,70,Sylvatica,379415.727,5389042.86
VAW028,72,Sylvatica,379389.531,5389161.086
VAW031,70,Sylvatica,379408.407,5389205.863
VAW032,81,Sylvatica,379407.591,5389209.614
VAW033,155,Sylvatica,379427.898,5389224.089
VAW036,105,Sylvatica,379464.517,5389218.641
VAW037,110,Sylvatica,379470.298,5389205.324
VAW038,139,Sylvatica,379388.086,5389230.309
VAW042,132,Sylvatica,379379.154,5389246.38
VAW044,137,Sylvatica,379385.374,5389233.031
VAW045,92,Sylvatica,379380.665,5389228.885
VAW048,75,Sylvatica,379343.583,5389098.165
VAW051,73,Sylvatica,379377.808,5388980.539
VAW052,75,Sylvatica,379361.243,5389013.963
VAW053,81,Sylvatica,379364.227,5389009.085
VAW054,142,Sylvatica,379363.853,5389047.358
